node_id	entity_name	attribute_text	triplets_text
854	Simple Minds	Simple Minds.	 [Simple Minds]'s song is Hunter And The Hunted (Live). [Simple Minds]'s release is Sons And Fascination/Sister Feelings Call. [Simple Minds]'s term is new wave.
855	J. B. Lenoir	J. B. Lenoir.	 [J. B. Lenoir]'s release is If You Love Me. [J. B. Lenoir]'s term is chicago blues. [J. B. Lenoir]'s song is I'm in Korea.
856	Herbert  von Karajan	Herbert  von Karajan.	 [Herbert  von Karajan]'s song is Oedipus Rex  Atto Secondo: Divum Jocastae Caput Mortuum (Messaggero  Coro) (Stravinsky). [Herbert  von Karajan]'s term is opera. [Herbert  von Karajan]'s release is Karajan: Stravinsky - Oedipus Rex; Bruckner - Te Deum.
857	Rihanna	Rihanna.	 [Rihanna]'s release is SOS, Good Girl Gone Bad: The Remixes. [Rihanna]'s song is Good Girl Gone Bad.
858	Fuzz	Fuzz.	 [Fuzz]'s term is video game music. [Fuzz]'s song is Big Fella. [Fuzz]'s release is Uno.
859	Dokken	Dokken.	 [Dokken]'s song is Disease. [Dokken]'s term is heavy metal. [Dokken]'s release is Lightning Strikes Again.
860	Ionics	Ionics.	 [Ionics]'s song is Roll Back The Rug. [Ionics]'s release is Doo-Wop Classics Vol. 10 [Musicnote Records]. [Ionics]'s term is turnablism.
861	Top Of The Poppers	Top Of The Poppers.	 [Top Of The Poppers]'s song is Money Money Money. [Top Of The Poppers]'s release is Knowing Me Knowing You. [Top Of The Poppers]'s term is eurodance.
862	Paulette Tajah	Paulette Tajah.	 [Paulette Tajah]'s release is Strictly Vocals 2. [Paulette Tajah]'s song is Jealousy. [Paulette Tajah]'s term is lovers rock.
863	Republica;Jonny Male;Dave Arch	Republica;Jonny Male;Dave Arch.	 [Republica;Jonny Male;Dave Arch]'s release is Republica. [Republica;Jonny Male;Dave Arch]'s song is Ready To Go. [Republica;Jonny Male;Dave Arch]'s term is europop.
864	Guns N' Roses	Guns N' Roses.	 [Guns N' Roses]'s term is heavy metal. [Guns N' Roses]'s song is Sweet Child O' Mine. [Guns N' Roses]'s release is Lies / Appetite For Destruction.
865	Fat Joe	Fat Joe.	 [Fat Joe]'s release is Me  Myself & I, Loyalty. [Fat Joe]'s song is Prove Something (explicit album version).
866	Skrape	Skrape.	 [Skrape]'s term is post-grunge. [Skrape]'s song is Searching For Home. [Skrape]'s release is Up The Dose.
867	Curt Bois	Curt Bois.	 [Curt Bois]'s term is pop rock. [Curt Bois]'s song is Reg mich nicht auf  Johanna. [Curt Bois]'s release is Die Star Von Kleinkunst und Kabarett.
868	CA(c)line Dion	CA(c)line Dion.	 [CA(c)line Dion]'s release is Dion Chante Plamondon - Celine Dion Sings The Songs Of Luc Plamondon, Taking Chances. [CA(c)line Dion]'s song is Un Garcon Pas Comme Les Autres (Ziggy).
869	Silverchair	Silverchair.	 [Silverchair]'s song is The Door, Cicada. [Silverchair]'s release is Freak Show.
870	Rancid	Rancid.	 [Rancid]'s term is ska punk. [Rancid]'s song is The Bravest Kids (Acoustic). [Rancid]'s release is Let The Dominoes Fall.
871	Brian Auger's Oblivion Express	Brian Auger's Oblivion Express.	 [Brian Auger's Oblivion Express]'s song is Voices Of Other Times. [Brian Auger's Oblivion Express]'s term is jazz fusion. [Brian Auger's Oblivion Express]'s release is Closer To It!.
872	Primordial	Primordial.	 [Primordial]'s term is folk metal. [Primordial]'s song is Autumn's Ablaze (Live). [Primordial]'s release is All Empires Fall.
873	Chelsea	Chelsea.	 [Chelsea]'s term is pop rock. [Chelsea]'s song is Right To Work. [Chelsea]'s release is Punk In London.
874	Rainer Bielfeldt	Rainer Bielfeldt.	 [Rainer Bielfeldt]'s release is Herzen mit Koffer. [Rainer Bielfeldt]'s song is Gewisse Leute. [Rainer Bielfeldt]'s term is chanson.
875	Ann Hampton Callaway	Ann Hampton Callaway.	 [Ann Hampton Callaway]'s term is vocal jazz. [Ann Hampton Callaway]'s song is Time After Time. [Ann Hampton Callaway]'s release is Signature.
876	Mando Diao	Mando Diao.	 [Mando Diao]'s release is Long Before Rock 'n Roll, Never Seen The Light Of Day -Deluxe Version. [Mando Diao]'s song is Misty Mountains.
877	Donnie McClurkin	Donnie McClurkin.	 [Donnie McClurkin]'s term is urban. [Donnie McClurkin]'s release is Live in London and More ... [Donnie McClurkin]'s song is I'm Walking.
878	NewFound Road	NewFound Road.	 [NewFound Road]'s term is bluegrass. [NewFound Road]'s song is Brand New Broken Heart. [NewFound Road]'s release is Same Old Place.
879	Vilma Palma e Vampiros	Vilma Palma e Vampiros.	 [Vilma Palma e Vampiros]'s song is Verano traidor. [Vilma Palma e Vampiros]'s term is cumbia. [Vilma Palma e Vampiros]'s release is Vilma Palma e Vampiros  grandes exitos.
880	Ray Conniff	Ray Conniff.	 [Ray Conniff]'s term is instrumental pop. [Ray Conniff]'s song is My Melody Of Love. [Ray Conniff]'s release is Happiness Is.
881	Madilu System	Madilu System.	 [Madilu System]'s song is Bruno Dika. [Madilu System]'s term is congo. [Madilu System]'s release is sans commentaire.
882	Set Your Goals	Set Your Goals.	 [Set Your Goals]'s release is This Will Be The Death Of Us. [Set Your Goals]'s term is pop punk. [Set Your Goals]'s song is the fallen....
883	The High Strung	The High Strung.	 [The High Strung]'s term is post-grunge. [The High Strung]'s song is The Lifestyle That Got Away. [The High Strung]'s release is Moxie Bravo.
884	Nic Endo	Nic Endo.	 [Nic Endo]'s song is Future Prospects. [Nic Endo]'s term is future jazz. [Nic Endo]'s release is White Heat.
885	Kim Wilson	Kim Wilson.	 [Kim Wilson]'s release is Smokin' Joint. [Kim Wilson]'s term is harmonica blues. [Kim Wilson]'s song is Love Attack.
886	Suicidal Tendencies	Suicidal Tendencies.	 [Suicidal Tendencies]'s release is The Art Of Rebellion. [Suicidal Tendencies]'s song is Monopoly On Sorrow. [Suicidal Tendencies]'s term is hardcore punk.
887	Bill & Gloria Gaither	Bill & Gloria Gaither.	 [Bill & Gloria Gaither]'s release is Homecoming Hymns. [Bill & Gloria Gaither]'s term is country gospel. [Bill & Gloria Gaither]'s song is Holy Ground (Homecoming Hymns Version).
888	Jennifer Brown	Jennifer Brown.	 [Jennifer Brown]'s release is In My Garden. [Jennifer Brown]'s term is dance pop. [Jennifer Brown]'s song is Naked.
889	Jean LumiA"re	Jean LumiA"re.	 [Jean LumiA"re]'s release is The Greatest Hits from 40's and 50's  Vol. 66. [Jean LumiA"re]'s song is La chanson des gen\xc3\xaats. [Jean LumiA"re]'s term is chanson.
890	Elephant Man	Elephant Man.	 [Elephant Man]'s term is dancehall. [Elephant Man]'s song is Bruk Out and Wine. [Elephant Man]'s release is Unstoppable Riddim.
891	Alain Souchon	Alain Souchon.	 [Alain Souchon]'s release is C'est D\xc3\xa9j\xc3\xa0 \xc3\x87a / Nickel. [Alain Souchon]'s song is Le Bagad De Lann Bihoue. [Alain Souchon]'s term is chanson.
892	Pepper	Pepper.	 [Pepper]'s term is reggae. [Pepper]'s release is Kona Gold. [Pepper]'s song is Freeze.
893	FIR	FIR.	 [FIR]'s song is Lydia [Piano Version]. [FIR]'s release is F.I.R..
894	Eric Champion	Eric Champion.	 [Eric Champion]'s release is Save The World. [Eric Champion]'s term is ccm. [Eric Champion]'s song is Why Do We Do?.
895	Zeltinger Band	Zeltinger Band.	 [Zeltinger Band]'s song is Wo bleibt die Mark?. [Zeltinger Band]'s release is Rares f\xc3\xbcr Bares 2004. [Zeltinger Band]'s term is german pop.
896	Bebe Winans	Bebe Winans.	 [Bebe Winans]'s song is Love Thing. [Bebe Winans]'s release is Live Up  & Close. [Bebe Winans]'s term is ccm.
897	Penguin CafA(c) Orchestra	Penguin CafA(c) Orchestra.	 [Penguin CafA(c) Orchestra]'s release is Preludes  Airs And Yodels (A Penguin Cafe Primer), Signs Of Life. [Penguin CafA(c) Orchestra]'s song is Bean Fields (Live) (2001 Digital Remaster).
898	Colombiafrica - The Mystic Orchestra	Colombiafrica - The Mystic Orchestra.	 [Colombiafrica - The Mystic Orchestra]'s song is Sambangole / Tres Golpes Na' Mas. [Colombiafrica - The Mystic Orchestra]'s term is soukous. [Colombiafrica - The Mystic Orchestra]'s release is Voodoo Love Inna Champeta Land.
899	The Kitchen	The Kitchen.	 [The Kitchen]'s song is ...And He Loves It. [The Kitchen]'s term is broken beat. [The Kitchen]'s release is Foreign Objects.
900	Statues	Statues.	 [Statues]'s term is power pop. [Statues]'s song is Urbania. [Statues]'s release is New People Make Us Nervous.
901	Jonny Lang	Jonny Lang.	 [Jonny Lang]'s release is Long Time Coming. [Jonny Lang]'s song is The One I Got. [Jonny Lang]'s term is blues-rock.
902	Cam'Ron / JR Writer	Cam'Ron / JR Writer.	 [Cam'Ron / JR Writer]'s release is Purple Haze. [Cam'Ron / JR Writer]'s term is hip hop. [Cam'Ron / JR Writer]'s song is Shake.
903	Novembre	Novembre.	 [Novembre]'s song is Reason. [Novembre]'s release is The Blue. [Novembre]'s term is doom metal.
904	X-Raided	X-Raided.	 [X-Raided]'s release is The Unforgiven  V.1: ...In The Beginning. [X-Raided]'s song is Whatever It Took, Thug Queen.
905	Cornell Campbell	Cornell Campbell.	 [Cornell Campbell]'s term is roots reggae. [Cornell Campbell]'s song is Got To Tell The People, Just My Imagination.
906	Donna The Buffalo	Donna The Buffalo.	 [Donna The Buffalo]'s song is Garden Of Eden. [Donna The Buffalo]'s term is zydeco. [Donna The Buffalo]'s release is Rockin' In The Weary Land.
907	AI-TIEM	AI-TIEM.	 [AI-TIEM]'s song is Zeit f\xc3\xbcr Streit. [AI-TIEM]'s term is jungle music. [AI-TIEM]'s release is Wenn hier einer schie\xc3\x9ft  dann bin ich das.
908	Little Feat	Little Feat.	 [Little Feat]'s song is Down On The Farm (2006 Remastered Edit Version). [Little Feat]'s term is blues-rock. [Little Feat]'s release is Waiting For Columbus [Live Deluxe].
909	Mikey Dread	Mikey Dread.	 [Mikey Dread]'s song is Problems, Master Mantrol (Dub / Instrumental Reggae Music). [Mikey Dread]'s release is Obsession.
910	Alberto Cortez	Alberto Cortez.	 [Alberto Cortez]'s song is Distancia. [Alberto Cortez]'s term is chanson. [Alberto Cortez]'s release is Colecci\xc3\xb3n Diamante: Alberto Cortez.
911	Conjunto Mar Azul	Conjunto Mar Azul.	 [Conjunto Mar Azul]'s term is charanga. [Conjunto Mar Azul]'s release is Happy Boy. [Conjunto Mar Azul]'s song is Papel Quemado.
912	Death From Above 1979	Death From Above 1979.	 [Death From Above 1979]'s term is indie rock. [Death From Above 1979]'s release is You're A Woman  I'm A Machine. [Death From Above 1979]'s song is Romantic Rights.
913	Eyehategod	Eyehategod.	 [Eyehategod]'s term is doom metal. [Eyehategod]'s song is Left To Starve. [Eyehategod]'s release is 10 Years Of Abuse And Still Broke.
914	Mal De Ojo	Mal De Ojo.	 [Mal De Ojo]'s release is Mestijaia. [Mal De Ojo]'s term is grindcore. [Mal De Ojo]'s song is Lekeitio.
915	Edmundo Ros	Edmundo Ros.	 [Edmundo Ros]'s song is Happy Beat. [Edmundo Ros]'s release is Samba Samba, The Latin Sounds of Edmundo Ros.
916	The Antlers	The Antlers.	 [The Antlers]'s release is In the Attic of the Universe. [The Antlers]'s song is Stairs To the Attic. [The Antlers]'s term is chamber pop.
917	Jimmy Riley	Jimmy Riley.	 [Jimmy Riley]'s release is Harmony House Verse 2, Roots Techniques. [Jimmy Riley]'s song is Watch This Sounds.
918	Marilyn Horne / Wiener Opernorchester / Henry Lewis	Marilyn Horne / Wiener Opernorchester / Henry Lewis.	 [Marilyn Horne / Wiener Opernorchester / Henry Lewis]'s release is Ultimate Classical Chill Out. [Marilyn Horne / Wiener Opernorchester / Henry Lewis]'s term is opera. [Marilyn Horne / Wiener Opernorchester / Henry Lewis]'s song is Mon coeur s'ouvre \xc3\xa0 ta voix.
919	Jason Mraz	Jason Mraz.	 [Jason Mraz]'s term is alternative rock. [Jason Mraz]'s release is Selections For Friends. [Jason Mraz]'s song is Song For A Friend (Live From Montalvo).
920	Pyrolator	Pyrolator.	 [Pyrolator]'s term is hard trance. [Pyrolator]'s song is Passage To Melilla. [Pyrolator]'s release is Wunderland (plus Bonustracks).
921	James Scott Skinner	James Scott Skinner.	 [James Scott Skinner]'s term is hard house. [James Scott Skinner]'s song is Mrs Scott Skinner / Mackenzie Hay / The Devil's Elbow. [James Scott Skinner]'s release is The Strathspey King.
922	Grupo Batuque	Grupo Batuque.	 [Grupo Batuque]'s term is future jazz. [Grupo Batuque]'s song is Cavasamba Um (Edit). [Grupo Batuque]'s release is Samba De Rua.
923	Sugar Minott	Sugar Minott.	 [Sugar Minott]'s song is Now We Know. [Sugar Minott]'s release is The Serious Reggae Album Vol 2 Prt 2, Sugar Minott at Studio One.
924	Mudhoney	Mudhoney.	 [Mudhoney]'s song is It Is Us. [Mudhoney]'s release is Tomorrow Hit Today. [Mudhoney]'s term is grunge.
925	Out Of The Grey	Out Of The Grey.	 [Out Of The Grey]'s term is ccm. [Out Of The Grey]'s song is The One I've Been Waiting For (Diamond Days Album Version). [Out Of The Grey]'s release is Gravity.
926	OV7	OV7.	 [OV7]'s term is ballad. [OV7]'s song is Volvere. [OV7]'s release is CD00.
927	Open Hand	Open Hand.	 [Open Hand]'s release is You And Me. [Open Hand]'s term is post-grunge. [Open Hand]'s song is The Ambush.
928	X-ecutioners	X-ecutioners.	 [X-ecutioners]'s release is Built From Scratch. [X-ecutioners]'s term is turnablism. [X-ecutioners]'s song is Play That Beat.
929	Juice Leskinen	Juice Leskinen.	 [Juice Leskinen]'s release is Lauluja rakastamisen vaikeudesta. [Juice Leskinen]'s song is Halintamyym\xc3\xa4l\xc3\xa4n aamutoimet. [Juice Leskinen]'s term is german pop.
930	Pumpkin Buzzard	Pumpkin Buzzard.	 [Pumpkin Buzzard]'s song is Requiem Blaster. [Pumpkin Buzzard]'s release is Knowledge Zombie. [Pumpkin Buzzard]'s term is happy hardcore.
931	Rishi Rich	Rishi Rich.	 [Rishi Rich]'s song is Come Here Feat. Jay Sean. [Rishi Rich]'s release is The Project. [Rishi Rich]'s term is bhangra.
932	Kanye West	Kanye West.	 [Kanye West]'s song is Skit #2 (Kanye West/Late Registration), Skit #2 (Kanye West/Late Registration). [Kanye West]'s release is Late Registration.
933	The Katies	The Katies.	 [The Katies]'s song is Tappin' Out (LP Version). [The Katies]'s term is power pop. [The Katies]'s release is The Katies.
934	Los Hispanos	Los Hispanos.	 [Los Hispanos]'s term is cumbia. [Los Hispanos]'s song is El Aranero. [Los Hispanos]'s release is Coleccion Estelar de Sabor Cumbia.
935	Paul Brown	Paul Brown.	 [Paul Brown]'s release is The City. [Paul Brown]'s song is Side Steppin'. [Paul Brown]'s term is smooth jazz.
936	Lloyd Banks	Lloyd Banks.	 [Lloyd Banks]'s song is South Side Story. [Lloyd Banks]'s release is The Hunger For More. [Lloyd Banks]'s term is gangster rap.
937	Terror Fabulous	Terror Fabulous.	 [Terror Fabulous]'s release is Reggae Gold 1993. [Terror Fabulous]'s term is dancehall. [Terror Fabulous]'s song is Position.
938	Eddie Henderson	Eddie Henderson.	 [Eddie Henderson]'s release is Coming Through. [Eddie Henderson]'s song is Beyond Forever (2004 Digital Remaster). [Eddie Henderson]'s term is jazz funk.
939	Kartik Seshadri	Kartik Seshadri.	 [Kartik Seshadri]'s release is Illuminations. [Kartik Seshadri]'s term is roots reggae. [Kartik Seshadri]'s song is Raga Anandi Kalyan (Alap  jor and jhala).
940	Modeselektor	Modeselektor.	 [Modeselektor]'s song is Tetrispack. [Modeselektor]'s release is In Loving Memory. [Modeselektor]'s term is techno.
941	Charlie Rich	Charlie Rich.	 [Charlie Rich]'s song is You Don't Know Me. [Charlie Rich]'s term is rockabilly. [Charlie Rich]'s release is Feel Like Going Home: The Essential Charlie Rich.
942	Bad Religion	Bad Religion.	 [Bad Religion]'s release is Stranger Than Fiction. [Bad Religion]'s song is Epiphany. [Bad Religion]'s term is hardcore punk.
943	SaarbrA1/4cken Radio Symphony Orchestra	SaarbrA1/4cken Radio Symphony Orchestra.	 [SaarbrA1/4cken Radio Symphony Orchestra]'s song is Phase (1972). [SaarbrA1/4cken Radio Symphony Orchestra]'s release is Les Id\xc3\xa9es Fixes. [SaarbrA1/4cken Radio Symphony Orchestra]'s term is symphony.
944	Jackie Davis	Jackie Davis.	 [Jackie Davis]'s term is soul jazz. [Jackie Davis]'s song is Night Train (Album Version). [Jackie Davis]'s release is Easy Does It.
945	Less Than Jake	Less Than Jake.	 [Less Than Jake]'s term is ska punk. [Less Than Jake]'s song is Fucked. [Less Than Jake]'s release is GNV FLA.
946	Mobb Deep	Mobb Deep.	 [Mobb Deep]'s song is Got It Twisted. [Mobb Deep]'s release is The Infamous. [Mobb Deep]'s term is gangster rap.
947	Irwin Goodman	Irwin Goodman.	 [Irwin Goodman]'s release is Kolmastoista kerta. [Irwin Goodman]'s song is Terve menoo j\xc3\xa4tk\xc3\xa4nretale. [Irwin Goodman]'s term is german pop.
948	Pedro Aznar	Pedro Aznar.	 [Pedro Aznar]'s song is Stand. [Pedro Aznar]'s release is David Y Goliath. [Pedro Aznar]'s term is chanson.
949	Marty Robbins	Marty Robbins.	 [Marty Robbins]'s release is Country Style U.S.A. with Ferlin Husky  Wilburn Brothers  Benny Martin  Marty Robbins, The Best of Marty Robbins. [Marty Robbins]'s song is A Castle In The Sky.
950	Gang Starr Featuring Jeru The Damaja And Lil Dap	Gang Starr Featuring Jeru The Damaja And Lil Dap.	 [Gang Starr Featuring Jeru The Damaja And Lil Dap]'s release is Daily Operation. [Gang Starr Featuring Jeru The Damaja And Lil Dap]'s term is jazz rap. [Gang Starr Featuring Jeru The Damaja And Lil Dap]'s song is I'm The Man (Explicit) (Feat. Jeru The Damaja And Lil Dap).
951	Lenn Hammond	Lenn Hammond.	 [Lenn Hammond]'s song is The Door. [Lenn Hammond]'s release is Baby Why. [Lenn Hammond]'s term is lovers rock.
952	Cool For August	Cool For August.	 [Cool For August]'s release is Grand World. [Cool For August]'s term is alternative rock. [Cool For August]'s song is Don't Wanna Be Here (Album Version).
953	Monster Magnet	Monster Magnet.	 [Monster Magnet]'s song is Black Celebration. [Monster Magnet]'s release is For The Masses. [Monster Magnet]'s term is stoner metal.
954	Nirvana	Nirvana.	 [Nirvana]'s song is Heart-Shaped Box, Nevermind  It's An Interview. [Nirvana]'s release is From The Muddy Banks Of The Wishkah.
955	Unison	Unison.	 [Unison]'s release is Sound Networks EP. [Unison]'s term is hard trance. [Unison]'s song is Girls Make My Hair Loose.
956	Hatiras & Slarta John	Hatiras & Slarta John.	 [Hatiras & Slarta John]'s term is tech house. [Hatiras & Slarta John]'s song is Spaced Invader (Ian Pooley Club Mix). [Hatiras & Slarta John]'s release is Spaced Invader.
957	Randy Travis	Randy Travis.	 [Randy Travis]'s term is country gospel. [Randy Travis]'s release is Wind In The Wire. [Randy Travis]'s song is On The Other Hand (Album Version).
958	JosA(c) Augusto;Catia Guimma	JosA(c) Augusto;Catia Guimma.	 [JosA(c) Augusto;Catia Guimma]'s release is Ao Vivo. [JosA(c) Augusto;Catia Guimma]'s term is latin pop. [JosA(c) Augusto;Catia Guimma]'s song is Tudo Que Voc\xc3\xaa Quiser.
959	fIREHOSE	fIREHOSE.	 [fIREHOSE]'s term is alternative rock. [fIREHOSE]'s song is Let The Drummer Have Some. [fIREHOSE]'s release is Ragin'  Full-On.
960	Alternative TV	Alternative TV.	 [Alternative TV]'s song is Nasty Little Lonely. [Alternative TV]'s release is Strange Kicks, Live 1978.
961	Mike Bloomfield	Mike Bloomfield.	 [Mike Bloomfield]'s song is Tell Me Partner. [Mike Bloomfield]'s term is blues-rock. [Mike Bloomfield]'s release is Diamond Master Series - Mike Bloomfield.
962	Francky Vincent	Francky Vincent.	 [Francky Vincent]'s song is L'antillais Donne. [Francky Vincent]'s term is zouk. [Francky Vincent]'s release is R\xc3\xa9chauffe L'hiver.
963	The Black Crowes	The Black Crowes.	 [The Black Crowes]'s song is Locust Street (Album Version), Ballad In Urgency. [The Black Crowes]'s release is Warpaint Live.
964	Mat Kearney	Mat Kearney.	 [Mat Kearney]'s term is singer-songwriter. [Mat Kearney]'s release is City Of Black & White. [Mat Kearney]'s song is Never Be Ready.
965	Conjunto Clasico	Conjunto Clasico.	 [Conjunto Clasico]'s song is Mi Suegra. [Conjunto Clasico]'s release is Cl\xc3\xa1sicas De Cl\xc3\xa1sico. [Conjunto Clasico]'s term is salsa.
966	Julie Roberts	Julie Roberts.	 [Julie Roberts]'s song is The Chance. [Julie Roberts]'s term is alternative country. [Julie Roberts]'s release is Julie Roberts.
967	Lily Holbrook	Lily Holbrook.	 [Lily Holbrook]'s song is Smoke Screen. [Lily Holbrook]'s term is chill-out. [Lily Holbrook]'s release is Wicked Ways.
968	Georges Delerue	Georges Delerue.	 [Georges Delerue]'s release is Le Mepris, In Session: A Film Music Celebration. [Georges Delerue]'s song is Aur\xc3\xa8le et C\xc3\xa9line.
969	Ronnie Milsap	Ronnie Milsap.	 [Ronnie Milsap]'s song is How Great Thou Art, Up To Zion (High Key-Premiere Performance Plus w/o Background Vocals). [Ronnie Milsap]'s release is The Essential Ronnie Milsap.
970	Irma Thomas	Irma Thomas.	 [Irma Thomas]'s song is Hold Me While I Cry. [Irma Thomas]'s release is The Story Of My Life. [Irma Thomas]'s term is delta blues.
971	O'2L	O'2L.	 [O'2L]'s term is orchestra. [O'2L]'s song is Little Edith. [O'2L]'s release is Doyle's Brunch.
972	The Cardigans	The Cardigans.	 [The Cardigans]'s song is Marvel Hill. [The Cardigans]'s term is twee pop. [The Cardigans]'s release is Best Of.
973	Clifton Chenier	Clifton Chenier.	 [Clifton Chenier]'s release is Live! At Grant Street. [Clifton Chenier]'s song is Clifton's Two Step. [Clifton Chenier]'s term is zydeco.
974	B.B. King	B.B. King.	 [B.B. King]'s term is blues-rock. [B.B. King]'s release is B.B. King. [B.B. King]'s song is Please Remember Me.
975	Zen Lemonade	Zen Lemonade.	 [Zen Lemonade]'s release is Lemon Soul. [Zen Lemonade]'s term is progressive trance. [Zen Lemonade]'s song is Brazil Mon Amour.
976	R. Kelly & Jay Z	R. Kelly & Jay Z.	 [R. Kelly & Jay Z]'s term is gangster rap. [R. Kelly & Jay Z]'s song is Honey. [R. Kelly & Jay Z]'s release is The Best Of Both Worlds.
977	Jan Wayne	Jan Wayne.	 [Jan Wayne]'s term is eurodance. [Jan Wayne]'s song is Hello. [Jan Wayne]'s release is Hello.
978	Jimmy Cliff	Jimmy Cliff.	 [Jimmy Cliff]'s term is reggae. [Jimmy Cliff]'s release is The Universal Masters Collection. [Jimmy Cliff]'s song is Let's Seize The Time.
979	The Forms	The Forms.	 [The Forms]'s song is Innizar. [The Forms]'s release is The Forms. [The Forms]'s term is indie rock.
980	Connie Francis	Connie Francis.	 [Connie Francis]'s term is brill building pop. [Connie Francis]'s song is You Were Only Fooling. [Connie Francis]'s release is Essential Christmas.
981	Larry The Cable Guy	Larry The Cable Guy.	 [Larry The Cable Guy]'s release is The Best Of Blue Collar Comedy. [Larry The Cable Guy]'s song is Bass Pro Shop & Wal-Mart. [Larry The Cable Guy]'s term is stand-up comedy.
982	The Kirkbys	The Kirkbys.	 [The Kirkbys]'s term is freakbeat. [The Kirkbys]'s release is Unearthed Merseybeat Volume 2. [The Kirkbys]'s song is Penny In My Pocket.
983	Arc Angels	Arc Angels.	 [Arc Angels]'s term is blues-rock. [Arc Angels]'s song is Crave and Wonder. [Arc Angels]'s release is Arc Angels.
984	The Clancy Brothers	The Clancy Brothers.	 [The Clancy Brothers]'s term is irish folk. [The Clancy Brothers]'s release is IRISH DRINKING SONGS, Ain't It Grand Boys: Unissued Gems Of The Clancy Brothers With Tommy Makem.
985	Andy Griffith	Andy Griffith.	 [Andy Griffith]'s term is comedy. [Andy Griffith]'s song is The Old Rugged Cross (Medley)  (Love To Tell The Story Album Version). [Andy Griffith]'s release is Somebody Bigger Than You And I.
986	Eric Demarsan	Eric Demarsan.	 [Eric Demarsan]'s term is smooth jazz. [Eric Demarsan]'s song is La Blessure. [Eric Demarsan]'s release is Le Samoura\xc3\xaf / Les Aventuriers.
987	Myrick "Freeze" Guillory	Myrick "Freeze" Guillory.	 [Myrick "Freeze" Guillory]'s release is Nouveau Zydeco. [Myrick "Freeze" Guillory]'s song is Queen Ida Introduction. [Myrick "Freeze" Guillory]'s term is zydeco.
988	Ice-T & Chuck D	Ice-T & Chuck D.	 [Ice-T & Chuck D]'s term is hip hop. [Ice-T & Chuck D]'s release is The Showdown: The Sugarhill Gang Vs. Grandmaster Flash & The Furious Five. [Ice-T & Chuck D]'s song is Round Two Wrap-Up.
989	Billy Bragg & Wilco	Billy Bragg & Wilco.	 [Billy Bragg & Wilco]'s song is She Came Along To Me (LP Version). [Billy Bragg & Wilco]'s release is Mermaid Avenue. [Billy Bragg & Wilco]'s term is urban folk.
990	GAPtterdA$?mmerung	GAPtterdA$?mmerung.	 [GAPtterdA$?mmerung]'s term is gothic rock. [GAPtterdA$?mmerung]'s release is Kin-Burst 9104. [GAPtterdA$?mmerung]'s song is Skincree.
991	Mil	Mil.	 [Mil]'s release is Miltape Vol.1. [Mil]'s term is visual kei. [Mil]'s song is Dis moi.
992	The Twinkle Brothers	The Twinkle Brothers.	 [The Twinkle Brothers]'s term is roots reggae. [The Twinkle Brothers]'s release is Dub Massacre Part 1 & Part 2. [The Twinkle Brothers]'s song is Natty Dread Up Town.
993	Tum Tum	Tum Tum.	 [Tum Tum]'s song is Lil Stuntin. [Tum Tum]'s term is dirty south rap. [Tum Tum]'s release is The Return Of O-Tumma.
994	Mr Dubz	Mr Dubz.	 [Mr Dubz]'s song is Diss Location. [Mr Dubz]'s term is dubstep. [Mr Dubz]'s release is The Pain E.p..
995	Die Bandbreite	Die Bandbreite.	 [Die Bandbreite]'s release is Hexenjagd. [Die Bandbreite]'s term is hip pop. [Die Bandbreite]'s song is Try to live.
996	Andre Verchuren	Andre Verchuren.	 [Andre Verchuren]'s song is Valse Des Montagnes. [Andre Verchuren]'s term is chanson. [Andre Verchuren]'s release is Tango Pour Madameon.
997	Spieluhrmelodien	Spieluhrmelodien.	 [Spieluhrmelodien]'s release is Zeigt Her Eure F\xc3\xbcsse. [Spieluhrmelodien]'s song is Zeigt her eure F\xc3\xbc\xc3\x9fe. [Spieluhrmelodien]'s term is cumbia.
998	Marco Beltrami	Marco Beltrami.	 [Marco Beltrami]'s release is Live Free Or Die Hard, Dans la brume \xc3\xa9lectrique (Bande originale du film). [Marco Beltrami]'s song is Revelations.
999	Erik Hassle	Erik Hassle.	 [Erik Hassle]'s song is Don't Bring Flowers. [Erik Hassle]'s release is Don't Bring Flowers. [Erik Hassle]'s term is pop rock.
1000	An Cafe	An Cafe.	 [An Cafe]'s song is KORITSU HOSPITAL, Portraying Light With Rainbow Colored Crayon. [An Cafe]'s release is Goku Tama Rock Cafe.
1001	Galactic	Galactic.	 [Galactic]'s term is jazz funk. [Galactic]'s song is Think Back. [Galactic]'s release is Late for the Future.
1002	Michael Bloomfield	Michael Bloomfield.	 [Michael Bloomfield]'s song is Narrative #2. [Michael Bloomfield]'s release is If You Love These Blues  Play'em As You Please, Bloomfield-A Retrospective.
1003	Soul Embraced	Soul Embraced.	 [Soul Embraced]'s term is christian metal. [Soul Embraced]'s song is Someday (Immune Album Version). [Soul Embraced]'s release is Immune.
1004	At All Cost	At All Cost.	 [At All Cost]'s term is post-hardcore. [At All Cost]'s release is Shattered Dreams and Bourgeois Schemes. [At All Cost]'s song is Drugs.
1005	William Coulter	William Coulter.	 [William Coulter]'s song is The Painter And The Magician. [William Coulter]'s release is The Road Home. [William Coulter]'s term is celtic.
